,host,time,http,URL,version,status,bytes
0,dd15-062.compuserve.com,01/Jul/1995:00:01:12-0400,GET,/news/sci.space.shuttle/archive/sci-space-shuttle-22-apr-1995-40.txt,HTTP/1.0,404,-
1,netport-27.iu.net,01/Jul/1995:00:10:19-0400,GET,/pub/winvn/readme.txt,HTTP/1.0,404,-
2,netport-27.iu.net,01/Jul/1995:00:10:28-0400,GET,/pub/winvn/readme.txt,HTTP/1.0,404,-
3,blv-pm0-ip28.halcyon.com,01/Jul/1995:00:14:17-0400,GET,/persons/astronauts/i-to-l/lousmaJR.txt,HTTP/1.0,404,-
4,blv-pm0-ip28.halcyon.com,01/Jul/1995:00:14:32-0400,GET,/persons/astronauts/a-to-d/beanAL.txt,HTTP/1.0,404,-
5,cu-dialup-1005.cit.cornell.edu,01/Jul/1995:00:18:39-0400,GET,/pub/winvn/readme.txt,HTTP/1.0,404,-
6,cu-dialup-1005.cit.cornell.edu,01/Jul/1995:00:18:45-0400,GET,/pub/winvn/readme.txt,HTTP/1.0,404,-
7,cu-dialup-1005.cit.cornell.edu,01/Jul/1995:00:18:49-0400,GET,/pub/winvn/release.txt,HTTP/1.0,404,-
8,mimas.execpc.com,01/Jul/1995:00:18:59-0400,GET,/shuttle/missions/technology/sts-newsref/stsref-toc.html,HTTP/1.0,404,-
9,zoom112.telepath.com,01/Jul/1995:00:25:27-0400,GET,/history/apollo-13/apollo-13.html,HTTP/1.0,404,-
10,ad08-027.compuserve.com,01/Jul/1995:00:37:55-0400,GET,/shuttle/missions/sts-71/images/KSC-95EC-0916.txt,HTTP/1.0,404,-
11,ad08-027.compuserve.com,01/Jul/1995:00:38:02-0400,GET,/shuttle/missions/sts-71/images/KSC-95EC-0916.txt,HTTP/1.0,404,-
12,piweba3y.prodigy.com,01/Jul/1995:00:44:27-0400,GET,/shuttle/missions/sts-71/images/KSC-95EC-0916.txt,HTTP/1.0,404,-
13,piweba3y.prodigy.com,01/Jul/1995:00:44:47-0400,GET,/shuttle/missions/sts-71/images/KSC-95EC-0916.txt,HTTP/1.0,404,-
14,204.212.153.234,01/Jul/1995:00:45:16-0400,GET,/pub/winvn/readme.txt,HTTP/1.0,404,-
15,204.212.153.234,01/Jul/1995:00:45:26-0400,GET,/pub/winvn/release.txt,HTTP/1.0,404,-
16,ix-wbg-va2-26.ix.netcom.com,01/Jul/1995:00:45:45-0400,GET,/history/apollo/pad-abort-test-1/pad-abort-test-1-patch-small.gif,HTTP/1.0,404,-
17,ix-wbg-va2-26.ix.netcom.com,01/Jul/1995:00:45:56-0400,GET,/history/apollo/pad-abort-test-1/images/,HTTP/1.0,404,-
18,ix-wbg-va2-26.ix.netcom.com,01/Jul/1995:00:46:05-0400,GET,/history/apollo/pad-abort-test-1/sounds/,HTTP/1.0,404,-
19,ix-wbg-va2-26.ix.netcom.com,01/Jul/1995:00:46:09-0400,GET,/history/apollo/pad-abort-test-1/movies/,HTTP/1.0,404,-
20,ix-wbg-va2-26.ix.netcom.com,01/Jul/1995:00:46:12-0400,GET,/history/apollo/pad-abort-test-1/docs/,HTTP/1.0,404,-
21,ix-wbg-va2-26.ix.netcom.com,01/Jul/1995:00:46:15-0400,GET,/history/apollo/pad-abort-test-1/news/,HTTP/1.0,404,-
22,www-b6.proxy.aol.com,01/Jul/1995:00:53:22-0400,GET,/:/spacelink.msfc.nasa.gov,HTTP/1.0,404,-
23,galactica.galactica.it,01/Jul/1995:00:58:10-0400,GET,/pub/winvn/release.txt,HTTP/1.0,404,-
24,ix-sac6-27.ix.netcom.com,01/Jul/1995:01:05:46-0400,GET,/history/apollo/publications/sp-350/sp-350.txt~,HTTP/1.0,404,-
25,ix-ont5-14.ix.netcom.com,01/Jul/1995:01:09:27-0400,GET,/shuttle/countdown/video/livevideo.jpeg,HTTP/1.0,404,-
26,ip215.cap.primenet.com,01/Jul/1995:01:25:59-0400,GET,/pub/winvn/release.txt,HTTP/1.0,404,-
27,ip215.cap.primenet.com,01/Jul/1995:01:32:39-0400,GET,/pub/winvn/release.txt,HTTP/1.0,404,-
28,ip215.cap.primenet.com,01/Jul/1995:01:32:43-0400,GET,/pub/winvn/readme.txt,HTTP/1.0,404,-
29,sudial-155.syr.edu,01/Jul/1995:01:37:51-0400,GET,/history/apollo/publications/sp-350/sp-350.txt~,HTTP/1.0,404,-
30,sudial-155.syr.edu,01/Jul/1995:01:37:56-0400,GET,/history/apollo/publications/sp-350/sp-350.txt~,HTTP/1.0,404,-
31,www-d4.proxy.aol.com,01/Jul/1995:01:40:33-0400,GET,/shuttle/missions/sts-71/images/KSC-95EC-0916.txt,HTTP/1.0,404,-
32,oncomdis.on.ca,01/Jul/1995:01:45:12-0400,GET,/shuttle/missions/sts-71/images/KSC-95EC-0916.txt,HTTP/1.0,404,-
33,www-a1.proxy.aol.com,01/Jul/1995:01:55:55-0400,GET,/:/spacelink.msfc.nasa.gov,HTTP/1.0,404,-
34,scooter.pa-x.dec.com,01/Jul/1995:02:06:19-0400,GET,/robots.txt,HTTP/1.0,404,-
35,dd02-023.compuserve.com,01/Jul/1995:02:08:30-0400,GET,/shuttle/missions/sts-71/images/KSC-95EC-0916.txt,HTTP/1.0,404,-
36,jobs09.cfi.waseda.ac.jp,01/Jul/1995:02:09:51-0400,GET,/shuttle/missions/sts-85/mission-sts-85.html,HTTP/1.0,404,-
37,b1b.ppp.mo.net,01/Jul/1995:02:14:55-0400,GET,/shuttle/technology/images/sts-comm-small.gif,HTTP/1.0,404,-
38,b1b.ppp.mo.net,01/Jul/1995:02:16:09-0400,GET,/shuttle/technology/images/sts-comm-small.gif,HTTP/1.0,404,-
39,b1b.ppp.mo.net,01/Jul/1995:02:19:09-0400,GET,/shuttle/technology/images/sts-comm-small.gif,HTTP/1.0,404,-
40,ntp.almaden.ibm.com,01/Jul/1995:02:20:29-0400,GET,/://spacelink.msfc.nasa.gov,HTTP/1.0,404,-
41,piweba2y.prodigy.com,01/Jul/1995:02:20:45-0400,GET,/shuttle/missions-sts-711.html,HTTP/1.0,404,-
42,ckm.ni.net,01/Jul/1995:02:28:35-0400,GET,/pub/winvn/readme.txt,HTTP/1.0,404,-
43,ix-dc8-20.ix.netcom.com,01/Jul/1995:02:30:09-0400,GET,/shuttle/missions/sts-71/images/KSC-95EC-0916.txt,HTTP/1.0,404,-
44,dd11-012.compuserve.com,01/Jul/1995:02:32:31-0400,GET,/shuttle/resources/orbiters/challenger.gif,HTTP/1.0,404,-
45,scooter.pa-x.dec.com,01/Jul/1995:02:38:25-0400,GET,/de/systems.html,HTTP/1.0,404,-
46,jericho3.microsoft.com,01/Jul/1995:03:19:38-0400,GET,/shuttle/resources/orbiters/challenger.gif,HTTP/1.0,404,-
47,dialup-68.icon-stl.net,01/Jul/1995:03:30:22-0400,GET,/shuttle/missions/sts-71/images/KSC-95EC-0916.txt,HTTP/1.0,404,-
48,202.6.90.68,01/Jul/1995:03:41:37-0400,GET,/ads/eds2_ad.gif,HTTP/1.0,404,-
49,202.6.90.68,01/Jul/1995:03:42:18-0400,GET,"/misc/home.map?44,104",HTTP/1.0,404,-
50,202.6.90.68,01/Jul/1995:03:42:33-0400,GET,"/misc/home.map?44,104",HTTP/1.0,404,-
51,202.6.90.68,01/Jul/1995:03:43:26-0400,GET,/Business/,HTTP/1.0,404,-
52,202.6.90.68,01/Jul/1995:03:43:42-0400,GET,/misc/showcase/personal_edition/images/milan_banner.gif,HTTP/1.0,404,-
53,202.6.90.68,01/Jul/1995:03:44:59-0400,GET,/Titles?qt=nasa,HTTP/1.0,404,-
54,202.6.90.68,01/Jul/1995:03:45:06-0400,GET,/misc/showcase/personal_edition/images/milan_banner.gif,HTTP/1.0,404,-
55,202.6.90.68,01/Jul/1995:03:45:29-0400,GET,/images/home_igloo.gif,HTTP/1.0,404,-
56,202.6.90.68,01/Jul/1995:03:45:29-0400,GET,/misc/showcase/personal_edition/images/milan_banner.gif,HTTP/1.0,404,-
57,202.6.90.68,01/Jul/1995:03:45:56-0400,GET,/misc/showcase/personal_edition/images/milan_banner.gif,HTTP/1.0,404,-
58,202.6.90.68,01/Jul/1995:03:46:04-0400,GET,/Titles?qt=nasa,HTTP/1.0,404,-
